"","Date","submission_count","log_sub_count"
"387",2018-04-27,18,2.89037175789616
"388",2018-04-28,17,2.83321334405622
"389",2018-04-29,25,3.2188758248682
"390",2018-04-30,38,3.63758615972639
"391",2018-05-01,44,3.78418963391826
"392",2018-05-02,19,2.94443897916644
"393",2018-05-03,15,2.70805020110221
"394",2018-05-04,15,2.70805020110221
"395",2018-05-05,22,3.09104245335832
"396",2018-05-06,19,2.94443897916644
"397",2018-05-07,34,3.52636052461616
"398",2018-05-08,20,2.99573227355399
"399",2018-05-09,29,3.36729582998647
"400",2018-05-10,18,2.89037175789616
"401",2018-05-11,14,2.63905732961526
"402",2018-05-12,14,2.63905732961526
"403",2018-05-13,20,2.99573227355399
"404",2018-05-14,39,3.66356164612965
"405",2018-05-15,29,3.36729582998647
"406",2018-05-16,26,3.25809653802148
"407",2018-05-17,24,3.17805383034795
"408",2018-05-18,17,2.83321334405622
"409",2018-05-19,18,2.89037175789616
"410",2018-05-20,18,2.89037175789616
"411",2018-05-21,33,3.49650756146648
"412",2018-05-22,21,3.04452243772342
"413",2018-05-23,28,3.3322045101752
"414",2018-05-24,23,3.13549421592915
"415",2018-05-25,14,2.63905732961526
"416",2018-05-26,13,2.56494935746154
"417",2018-05-27,17,2.83321334405622
"418",2018-05-28,26,3.25809653802148
"419",2018-05-29,30,3.40119738166216
"420",2018-05-30,33,3.49650756146648
"421",2018-05-31,35,3.55534806148941
"422",2018-06-01,25,3.2188758248682
"423",2018-06-02,24,3.17805383034795
"424",2018-06-03,30,3.40119738166216
"425",2018-06-04,28,3.3322045101752
"426",2018-06-05,22,3.09104245335832
"427",2018-06-06,23,3.13549421592915
"428",2018-06-07,24,3.17805383034795
"429",2018-06-08,20,2.99573227355399
"430",2018-06-09,22,3.09104245335832
"431",2018-06-10,16,2.77258872223978
"432",2018-06-11,33,3.49650756146648
"433",2018-06-12,28,3.3322045101752
"434",2018-06-13,29,3.36729582998647
"435",2018-06-14,12,2.484906649788
"436",2018-06-15,8,2.07944154167984
"437",2018-06-16,12,2.484906649788
"438",2018-06-17,16,2.77258872223978
"439",2018-06-18,23,3.13549421592915
"440",2018-06-19,18,2.89037175789616
"441",2018-06-20,28,3.3322045101752
"442",2018-06-21,30,3.40119738166216
"443",2018-06-22,21,3.04452243772342
"444",2018-06-23,21,3.04452243772342
"445",2018-06-24,21,3.04452243772342
"446",2018-06-25,34,3.52636052461616
"447",2018-06-26,46,3.8286413964891
"448",2018-06-27,32,3.46573590279973
"449",2018-06-28,37,3.61091791264422
"450",2018-06-29,24,3.17805383034795
"451",2018-06-30,19,2.94443897916644
"452",2018-07-01,17,2.83321334405622
"453",2018-07-02,23,3.13549421592915
"454",2018-07-03,9,2.19722457733622
"455",2018-07-04,18,2.89037175789616
"456",2018-07-05,16,2.77258872223978
"457",2018-07-06,11,2.39789527279837
"458",2018-07-07,14,2.63905732961526
"459",2018-07-08,16,2.77258872223978
"460",2018-07-09,30,3.40119738166216
"461",2018-07-10,25,3.2188758248682
"462",2018-07-11,22,3.09104245335832
"463",2018-07-12,20,2.99573227355399
"464",2018-07-13,16,2.77258872223978
"465",2018-07-14,16,2.77258872223978
"466",2018-07-15,18,2.89037175789616
"467",2018-07-16,22,3.09104245335832
"468",2018-07-17,18,2.89037175789616
"469",2018-07-18,26,3.25809653802148
"470",2018-07-19,20,2.99573227355399
"471",2018-07-20,13,2.56494935746154
"472",2018-07-21,18,2.89037175789616
"473",2018-07-22,27,3.29583686600433
"474",2018-07-23,38,3.63758615972639
"475",2018-07-24,20,2.99573227355399
"476",2018-07-25,28,3.3322045101752
"477",2018-07-26,23,3.13549421592915
"478",2018-07-27,24,3.17805383034795
"479",2018-07-28,11,2.39789527279837
"480",2018-07-29,27,3.29583686600433
"481",2018-07-30,25,3.2188758248682
"482",2018-07-31,32,3.46573590279973
"483",2018-08-01,24,3.17805383034795
"484",2018-08-02,26,3.25809653802148
"485",2018-08-03,16,2.77258872223978
"486",2018-08-04,14,2.63905732961526
"487",2018-08-05,20,2.99573227355399
"488",2018-08-06,22,3.09104245335832
"489",2018-08-07,26,3.25809653802148
"490",2018-08-08,21,3.04452243772342
"491",2018-08-09,26,3.25809653802148
"492",2018-08-10,15,2.70805020110221
"493",2018-08-11,12,2.484906649788
"494",2018-08-12,33,3.49650756146648
"495",2018-08-13,27,3.29583686600433
"496",2018-08-14,23,3.13549421592915
"497",2018-08-15,24,3.17805383034795
"498",2018-08-16,15,2.70805020110221
"499",2018-08-17,15,2.70805020110221
"500",2018-08-18,17,2.83321334405622
"501",2018-08-19,23,3.13549421592915
"502",2018-08-20,30,3.40119738166216
"503",2018-08-21,25,3.2188758248682
"504",2018-08-22,19,2.94443897916644
"505",2018-08-23,23,3.13549421592915
"506",2018-08-24,17,2.83321334405622
"507",2018-08-25,9,2.19722457733622
"508",2018-08-26,19,2.94443897916644
"509",2018-08-27,33,3.49650756146648
"510",2018-08-28,22,3.09104245335832
"511",2018-08-29,28,3.3322045101752
"512",2018-08-30,17,2.83321334405622
"513",2018-08-31,23,3.13549421592915
"514",2018-09-01,16,2.77258872223978
"515",2018-09-02,17,2.83321334405622
"516",2018-09-03,19,2.94443897916644
"517",2018-09-04,21,3.04452243772342
"518",2018-09-05,22,3.09104245335832
"519",2018-09-06,25,3.2188758248682
"520",2018-09-07,23,3.13549421592915
"521",2018-09-08,9,2.19722457733622
"522",2018-09-09,23,3.13549421592915
"523",2018-09-10,18,2.89037175789616
"524",2018-09-11,28,3.3322045101752
"525",2018-09-12,27,3.29583686600433
"526",2018-09-13,21,3.04452243772342
"527",2018-09-14,17,2.83321334405622
"528",2018-09-15,22,3.09104245335832
"529",2018-09-16,30,3.40119738166216
"530",2018-09-17,19,2.94443897916644
"531",2018-09-18,27,3.29583686600433
"532",2018-09-19,28,3.3322045101752
"533",2018-09-20,17,2.83321334405622
"534",2018-09-21,18,2.89037175789616
"535",2018-09-22,13,2.56494935746154
"536",2018-09-23,31,3.43398720448515
"537",2018-09-24,26,3.25809653802148
"538",2018-09-25,24,3.17805383034795
"539",2018-09-26,27,3.29583686600433
"540",2018-09-27,15,2.70805020110221
"541",2018-09-28,14,2.63905732961526
"542",2018-09-29,14,2.63905732961526
"543",2018-09-30,29,3.36729582998647
"544",2018-10-01,15,2.70805020110221
"545",2018-10-02,20,2.99573227355399
"546",2018-10-03,18,2.89037175789616
"547",2018-10-04,18,2.89037175789616
"548",2018-10-05,13,2.56494935746154
"549",2018-10-06,14,2.63905732961526
"550",2018-10-07,14,2.63905732961526
"551",2018-10-08,22,3.09104245335832
"552",2018-10-09,12,2.484906649788
"553",2018-10-10,19,2.94443897916644
"554",2018-10-11,9,2.19722457733622
"555",2018-10-12,11,2.39789527279837
"556",2018-10-13,10,2.30258509299405
"557",2018-10-14,12,2.484906649788
"558",2018-10-15,25,3.2188758248682
"559",2018-10-16,13,2.56494935746154
"560",2018-10-17,22,3.09104245335832
"561",2018-10-18,14,2.63905732961526
"562",2018-10-19,16,2.77258872223978
"563",2018-10-20,14,2.63905732961526
"564",2018-10-21,15,2.70805020110221
"565",2018-10-22,21,3.04452243772342
"566",2018-10-23,25,3.2188758248682
"567",2018-10-24,16,2.77258872223978
"568",2018-10-25,17,2.83321334405622
"569",2018-10-26,14,2.63905732961526
"570",2018-10-27,7,1.94591014905531
"571",2018-10-28,16,2.77258872223978
"572",2018-10-29,23,3.13549421592915
"573",2018-10-30,18,2.89037175789616
"574",2018-10-31,11,2.39789527279837
"575",2018-11-01,12,2.484906649788
"576",2018-11-02,11,2.39789527279837
"577",2018-11-03,11,2.39789527279837
"578",2018-11-04,10,2.30258509299405
"579",2018-11-05,13,2.56494935746154
"580",2018-11-06,16,2.77258872223978
"581",2018-11-07,16,2.77258872223978
"582",2018-11-08,15,2.70805020110221
"583",2018-11-09,8,2.07944154167984
"584",2018-11-10,8,2.07944154167984
"585",2018-11-11,12,2.484906649788
"586",2018-11-12,18,2.89037175789616
"587",2018-11-13,16,2.77258872223978
"588",2018-11-14,14,2.63905732961526
"589",2018-11-15,12,2.484906649788
"590",2018-11-16,3,1.09861228866811
"591",2018-11-17,8,2.07944154167984
"592",2018-11-18,16,2.77258872223978
"593",2018-11-19,18,2.89037175789616
"594",2018-11-20,13,2.56494935746154
"595",2018-11-21,19,2.94443897916644
"596",2018-11-22,3,1.09861228866811
"597",2018-11-23,8,2.07944154167984
"598",2018-11-24,12,2.484906649788
"599",2018-11-25,17,2.83321334405622
"600",2018-11-26,16,2.77258872223978
"601",2018-11-27,15,2.70805020110221
"602",2018-11-28,23,3.13549421592915
"603",2018-11-29,19,2.94443897916644
"604",2018-11-30,10,2.30258509299405
"605",2018-12-01,13,2.56494935746154
"606",2018-12-02,12,2.484906649788
"607",2018-12-03,8,2.07944154167984
"608",2018-12-04,18,2.89037175789616
"609",2018-12-05,7,1.94591014905531
"610",2018-12-06,15,2.70805020110221
"611",2018-12-07,7,1.94591014905531
"612",2018-12-08,7,1.94591014905531
"613",2018-12-09,8,2.07944154167984
"614",2018-12-10,16,2.77258872223978
"615",2018-12-11,21,3.04452243772342
"616",2018-12-12,17,2.83321334405622
"617",2018-12-13,10,2.30258509299405
"618",2018-12-14,11,2.39789527279837
"619",2018-12-15,10,2.30258509299405
"620",2018-12-16,13,2.56494935746154
"621",2018-12-17,9,2.19722457733622
"622",2018-12-18,13,2.56494935746154
"623",2018-12-19,14,2.63905732961526
"624",2018-12-20,10,2.30258509299405
"625",2018-12-21,16,2.77258872223978
"626",2018-12-22,8,2.07944154167984
"627",2018-12-23,5,1.6094379124341
"628",2018-12-24,6,1.79175946922805
"629",2018-12-25,5,1.6094379124341
"630",2018-12-26,11,2.39789527279837
"631",2018-12-27,13,2.56494935746154
"632",2018-12-28,10,2.30258509299405
"633",2018-12-29,5,1.6094379124341
"634",2018-12-30,11,2.39789527279837
"635",2018-12-31,33,3.49650756146648
"636",2019-01-01,8,2.07944154167984
"637",2019-01-02,14,2.63905732961526
"638",2019-01-03,17,2.83321334405622
"639",2019-01-04,11,2.39789527279837
"640",2019-01-05,11,2.39789527279837
"641",2019-01-06,15,2.70805020110221
"642",2019-01-07,12,2.484906649788
"643",2019-01-08,17,2.83321334405622
"644",2019-01-09,13,2.56494935746154
"645",2019-01-10,15,2.70805020110221
"646",2019-01-11,16,2.77258872223978
"647",2019-01-12,13,2.56494935746154
"648",2019-01-13,16,2.77258872223978
"649",2019-01-14,29,3.36729582998647
"650",2019-01-15,24,3.17805383034795
"651",2019-01-16,25,3.2188758248682
"652",2019-01-17,17,2.83321334405622
"653",2019-01-18,10,2.30258509299405
"654",2019-01-19,12,2.484906649788
"655",2019-01-20,24,3.17805383034795
"656",2019-01-21,20,2.99573227355399
"657",2019-01-22,20,2.99573227355399
"658",2019-01-23,21,3.04452243772342
"659",2019-01-24,13,2.56494935746154
"660",2019-01-25,9,2.19722457733622
"661",2019-01-26,14,2.63905732961526
"662",2019-01-27,21,3.04452243772342
"663",2019-01-28,21,3.04452243772342
"664",2019-01-29,19,2.94443897916644
"665",2019-01-30,21,3.04452243772342
"666",2019-01-31,27,3.29583686600433
"667",2019-02-01,14,2.63905732961526
"668",2019-02-02,9,2.19722457733622
"669",2019-02-03,18,2.89037175789616
"670",2019-02-04,20,2.99573227355399
"671",2019-02-05,20,2.99573227355399
"672",2019-02-06,12,2.484906649788
"673",2019-02-07,16,2.77258872223978
"674",2019-02-08,9,2.19722457733622
"675",2019-02-09,23,3.13549421592915
"676",2019-02-10,25,3.2188758248682
"677",2019-02-11,23,3.13549421592915
"678",2019-02-12,26,3.25809653802148
"679",2019-02-13,19,2.94443897916644
"680",2019-02-14,9,2.19722457733622
"681",2019-02-15,8,2.07944154167984
"682",2019-02-16,12,2.484906649788
"683",2019-02-17,15,2.70805020110221
"684",2019-02-18,23,3.13549421592915
"685",2019-02-19,17,2.83321334405622
"686",2019-02-20,21,3.04452243772342
"687",2019-02-21,26,3.25809653802148
"688",2019-02-22,10,2.30258509299405
"689",2019-02-23,12,2.484906649788
"690",2019-02-24,33,3.49650756146648
"691",2019-02-25,32,3.46573590279973
"692",2019-02-26,19,2.94443897916644
"693",2019-02-27,24,3.17805383034795
"694",2019-02-28,15,2.70805020110221
"695",2019-03-01,7,1.94591014905531
"696",2019-03-02,12,2.484906649788
"697",2019-03-03,10,2.30258509299405
"698",2019-03-04,16,2.77258872223978
